"UniqueCarrier" "Origin" "Dest" "Month" "DayOfWeek" "hour" "prop_30" "prop_60" "prop_80" "Time_Delay"
"114" "WN" "HOU" "DAL" 7 7 19 0.240740740740741 0.12962962962963 0.00617283950617284 162
"115" "WN" "HOU" "DAL" 5 4 20 0.240506329113924 0.158227848101266 0.00632911392405063 158
"116" "UA" "LAX" "SFO" 12 4 10 0.24025974025974 0.0974025974025974 0 154
"117" "UA" "LAX" "SFO" 12 3 18 0.24 0.133333333333333 0 150
"118" "UA" "SFO" "LAX" 11 7 18 0.239263803680982 0.141104294478528 0.0245398773006135 163
"119" "WN" "DAL" "HOU" 10 7 21 0.238636363636364 0.0795454545454545 0.00568181818181818 176
"120" "UA" "LAX" "SFO" 1 4 17 0.23841059602649 0.0728476821192053 0.0132450331125828 151
"121" "UA" "SFO" "LAX" 12 5 18 0.238372093023256 0.168604651162791 0.0232558139534884 172
"122" "WN" "DAL" "HOU" 2 4 18 0.238095238095238 0.0833333333333333 0.00595238095238095 168
"123" "WN" "HOU" "DAL" 10 5 21 0.23780487804878 0.0975609756097561 0 164
"124" "UA" "SFO" "LAX" 10 5 16 0.2375 0.11875 0.00625 160
"125" "AA" "ORD" "DFW" 5 4 18 0.237179487179487 0.134615384615385 0.032051282051282 156
"126" "UA" "LAX" "SFO" 5 5 18 0.236842105263158 0.118421052631579 0 152
"127" "AA" "DFW" "LAX" 1 7 0 0.236714975845411 0.0917874396135266 0.0193236714975845 207
"128" "WN" "DAL" "HOU" 8 5 18 0.235632183908046 0.0804597701149425 0 174
"129" "AA" "ORD" "BOS" 1 3 0 0.235294117647059 0.163398692810458 0.0196078431372549 153
"130" "UA" "LAX" "SFO" 12 5 10 0.234567901234568 0.0802469135802469 0 162
"131" "WN" "DAL" "HOU" 3 5 18 0.234042553191489 0.0425531914893617 0 188
"132" "WN" "DAL" "HOU" 10 7 19 0.233918128654971 0.0818713450292398 0 171
"133" "WN" "DAL" "HOU" 5 4 18 0.233333333333333 0.105555555555556 0.0111111111111111 180
"134" "WN" "DAL" "HOU" 6 5 16 0.232142857142857 0.0773809523809524 0.00595238095238095 168
"135" "UA" "SFO" "LAX" 7 3 11 0.231788079470199 0.0860927152317881 0 151
"136" "WN" "HOU" "DAL" 8 4 17 0.231441048034935 0.11353711790393 0.00873362445414847 229
"137" "WN" "DAL" "HOU" 6 7 21 0.23125 0.125 0 160
"138" "WN" "HOU" "DAL" 2 4 18 0.23125 0.125 0 160
"139" "WN" "HOU" "DAL" 8 5 18 0.23121387283237 0.092485549132948 0.00578034682080925 173
"140" "WN" "HOU" "DAL" 6 5 18 0.230769230769231 0.106508875739645 0.0118343195266272 169
"141" "WN" "HOU" "DAL" 2 5 16 0.230434782608696 0.0826086956521739 0.00434782608695652 230
"142" "WN" "HOU" "DAL" 10 7 20 0.229885057471264 0.0919540229885057 0.00574712643678161 174
"143" "UA" "LAX" "SFO" 11 7 10 0.228758169934641 0.117647058823529 0 153
"144" "WN" "DAL" "HOU" 3 7 19 0.228395061728395 0.0740740740740741 0.00617283950617284 162
"145" "UA" "SFO" "LAX" 12 7 18 0.228070175438596 0.0994152046783626 0.00584795321637427 171
"146" "WN" "HOU" "DAL" 7 4 20 0.227848101265823 0.107594936708861 0.00632911392405063 158
"147" "WN" "HOU" "DAL" 12 3 19 0.227544910179641 0.0718562874251497 0 167
"148" "AA" "ORD" "DFW" 7 7 18 0.227272727272727 0.123376623376623 0.00649350649350649 154
"149" "WN" "HOU" "DAL" 3 4 19 0.226993865030675 0.0858895705521472 0.0184049079754601 163
"150" "AA" "DFW" "MIA" 12 7 0 0.226415094339623 0.0817610062893082 0.00628930817610063 159
"151" "UA" "SFO" "LAX" 10 5 17 0.226415094339623 0.10062893081761 0.0188679245283019 159
"152" "UA" "LAX" "SFO" 11 5 11 0.225165562913907 0.112582781456954 0.0198675496688742 151
"153" "UA" "SFO" "LAX" 6 5 11 0.225165562913907 0.0860927152317881 0.00662251655629139 151
"154" "WN" "HOU" "DAL" 8 5 17 0.225108225108225 0.0735930735930736 0 231
"155" "WN" "DAL" "HOU" 10 4 19 0.224719101123595 0.0955056179775281 0 178
"156" "WN" "HOU" "DAL" 7 7 20 0.224358974358974 0.0961538461538462 0 156
"157" "UA" "LAX" "SFO" 5 5 19 0.223684210526316 0.118421052631579 0 152
"158" "WN" "HOU" "DAL" 10 7 18 0.223463687150838 0.0782122905027933 0 179
"159" "UA" "LAX" "SFO" 12 1 11 0.222929936305732 0.101910828025478 0.00636942675159236 157
"160" "WN" "DAL" "HOU" 12 5 17 0.222707423580786 0.0655021834061135 0.00436681222707424 229
"161" "UA" "LAX" "SFO" 12 3 11 0.222222222222222 0.104575163398693 0.0065359477124183 153
"162" "UA" "SFO" "LAX" 6 5 17 0.222222222222222 0.111111111111111 0 153
"163" "WN" "HOU" "DAL" 7 3 18 0.222222222222222 0.111111111111111 0 162
"164" "UA" "LAX" "SFO" 12 2 10 0.220125786163522 0.10062893081761 0 159
"165" "UA" "SFO" "LAX" 7 1 12 0.22 0.0933333333333333 0 150
"166" "WN" "HOU" "DAL" 3 5 18 0.21978021978022 0.0659340659340659 0.0164835164835165 182
"167" "AA" "ORD" "LGA" 1 4 0 0.219251336898396 0.112299465240642 0.0374331550802139 187
"168" "WN" "DAL" "HOU" 4 7 20 0.21875 0.08125 0.0125 160
"169" "WN" "DAL" "HOU" 8 5 19 0.21875 0.06875 0 160
"170" "WN" "HOU" "DAL" 6 3 19 0.21875 0.10625 0.00625 160
"171" "WN" "DAL" "HOU" 3 7 18 0.218579234972678 0.0765027322404372 0 183
"172" "WN" "HOU" "DAL" 1 4 18 0.218390804597701 0.0862068965517241 0.00574712643678161 174
"173" "WN" "DAL" "HOU" 9 5 19 0.218181818181818 0.0666666666666667 0 165
"174" "WN" "DAL" "HOU" 3 4 18 0.218085106382979 0.0531914893617021 0 188
"175" "UA" "LAX" "SFO" 7 1 10 0.217948717948718 0.0641025641025641 0 156
"176" "AA" "DFW" "ATL" 1 7 0 0.217105263157895 0.118421052631579 0.0263157894736842 152
